Gene,Locus tag,Effect
SC5G9.28c,SCO0319,Activated
SC5G9.29,SCO0320,Activated
SC5G9.30,SCO0321,Activated
ecaC,SCO1178,Activated
soxR,SCO1697,Regulator
SCI11.23,SCO1734,Activated
ecaB,SCO1909,Activated
SC7A8.15c,SCO2476,Activated
SC7A8.16c,SCO2477,Activated
SC7A8.17c,SCO2478,Activated
2SC10A7.25,SCO4021,Activated
SCD49.05c,SCO4264,Activated
SCD86A.02c,SCO4265,Activated
ecaD,SCO4266,Activated
ecaA,SCO7008,Activated
